_UqnfSjiEX,0.504,0.0
7_kg7BsyyTy8,0.496,0.0
b0GiwFwd_DE6,0.501,0.0
b8QbCYl,0.517,0.0
bAkRNyg7Fceb,0.517,0.0
bc2JTIhYY,0.493,0.0
bnAa0F2Y5VRG4,0.421,0.0
bz1PWe6KVzo_,0.423,0.0
caLFQL2FEUZ,0.504,0.0
cF6s51G2P47S,0.525,0.0
cKpMlHgzd5JF,0.517,0.0
cMTZSE9okk6j,0.619,0.0
cSNLPluX9b,0.521,0.0
ctt9wSzU,0.519,0.0
cvkdwkXe8,0.488,0.0
czRPoHX3E_B3,0.523,0.0
dbIgDrjqsiBH7PT,0.502,0.0
dFJ7PnU,0.512,0.0
dnzfDT5wY1k5o8,0.526,0.0
dSTN2xwatF5Txs0,0.484,0.0
dX2JIpS5Wjevq,0.513,0.0
efcONMPzgk9hV_z,0.500,0.0
eFkbfv5Wsu,0.513,0.0
eKzjEwUj0h,0.464,0.0
eStcdoaCX0edZEn,0.513,0.0
eXJsfS4am8,0.447,0.0
fa3GwVtFA4b,0.503,0.0
fE28aNayZ3KZ2,0.138,0.0
FFGCSVhmpAbS1JS,0.468,0.0
fmT904TjDcsE,0.501,0.0
fo9U2QjN2t,0.568,0.0
folDdnr,0.495,0.0
fzeWu51Q4QuVTla,0.481,0.0
g_7Cf1tdhiKEw,0.496,0.0
g3jE7iCVr,0.482,0.0
ggTTeHtNw,0.525,0.0
gKZLwiSdGbry7Bu,0.451,0.0
hCX3ND,0.509,0.0
hFAPzG5Bmiz,0.512,0.0
hicLarOMuOlI_,0.533,0.0
HRl8jtY6xwI,0.501,0.0
hxhuC,0.535,0.0
hXK1u_iX,0.528,0.0
ikiFPHMmtaGdLW,0.519,0.0
ioY8SXeZ4O,0.230,0.0
iQUdHRtlB2aDAaa,0.462,0.0
ivohGrJy0rBBNh,0.513,0.0
iWpBhtqZOjD_0dp,0.515,0.0
j33ihpdbJfzq,0.509,0.0
jKh48a2sGpRjq9w,0.527,0.0
jqU4TUUPEu,0.459,0.0
jtyblBelXcgIT85,0.525,0.0
jw09IIGPHPy,0.509,0.0
JYCWB2ej5lrw,0.478,0.0
k1SRruhluiyxrCz,0.482,0.0
k2A8t8IGuXAQg,0.539,0.0
kABBqs5cM25,0.282,0.0
kBszzoYUVMl,0.486,0.0
kjBLh4vEyTTkaJI,0.515,0.0
kNoQsElQpQf_RYl,0.545,0.0
kseppzcENc8pfy,0.489,0.0
kwHvh5kx1gxCsxt,0.512,0.0
kxjmGxSdj3tHi,0.530,0.0
l1EluZVQ5W74Rtk,0.494,0.0
l2lUKGt,0.493,0.0
l5TUbzeWJ3Y5,0.495,0.0
l7AyNLcqXS85hCp,0.523,0.0
leAuT8UVoh,0.486,0.0
lidbdt,0.507,0.0
ll4cOgXjKVU,0.323,0.0
m_7_ghXxwtnJ,0.518,0.0
mb87K0Eu,0.437,0.0
mIS9QmnxTykHnkS,0.448,0.0
mwt9IvKkgihyVg,0.551,0.0
mZtJDzlu_cOra2,0.505,0.0
n0Wd1LVPb,0.508,0.0
n2NtPc9V60N43pn,0.526,0.0
n4FRyH4lcbEiHVM,0.468,0.0
neXKBk6SLTROsGY,0.463,0.0
nhcJCpQck,0.516,0.0
nINcNi304N,0.531,0.0
nj4TXaS6Zkcl7X,0.538,0.0
nP4Ww2qQd,0.443,0.0
ntPzsU7V,0.451,0.0
ntS__KSkdt,0.461,0.0
nWfN7yBL9vY,0.508,0.0
o01Bk7QsMt4Ou7f,0.483,0.0
oe2Lc97,0.459,0.0
oqg9mdTD9WnS,0.482,0.0
p7eTalN7koz,0.502,0.0
pcGQnQhVkvlw,0.199,0.0
pCMjram,0.542,0.0
pUprG6dM1MR28N,0.507,0.0
pyX35IIVQv,0.528,0.0
qCWDGt1jTJKy,0.481,0.0
qEjqrtfo6__TzlC,0.474,0.0
qfMgVgNMKi8,0.488,0.0
qgzfcSjr2V7C7XW,0.470,0.0
qKpbtTNwXk_Ly,0.543,0.0
qLaMChw1e,0.392,0.0
qtQmgAdMbsnDNB,0.485,0.0
qwtg184xmOxmeMj,0.543,0.0
qx4t_VX,0.477,0.0
r7Vy_BthlVa,0.472,0.0
rCjuqQvpZLHx,0.502,0.0
rDE4VBM1KSBgNog,0.547,0.0
Ro3m1WbZfOyGi,0.485,0.0
ruQ6EDoSy7tKwr,0.496,0.0
rvmqAcBd6rBPmv,0.498,0.0
s3eg4rQM0hUjI5,0.533,0.0
sCMvPIvmtBW3,0.469,0.0
sLwlzEVoQ2fv,0.434,0.0
sSUxiobquj5z,0.491,0.0
t91GK,0.378,0.0
tiP6DJB7jKZYQ4K,0.464,0.0
tKjCAHusd9,0.511,0.0
uDoxDKkYcHtYqDP,0.507,0.0
uJN3VC,0.526,0.0
uPhLdbgaOUK,0.485,0.0
urXbj7,0.479,0.0
usnrPoAY7EtidZb,0.509,0.0
v3nE3bWaUq,0.494,0.0
vb0ehNa03FWhOZ,0.501,0.0
vCHJ0rxd67g4n,0.559,0.0
vLip1w96w,0.468,0.0
vth60A9DZpITQwF,0.520,0.0
w_JvQuPvO6_Goqs,0.478,0.0
wFTXq0A_7dlI,0.507,0.0
wnkxDbh7vs,0.504,0.0
wpHaf0yStnI,0.520,0.0
ww8iMNDT_,0.521,0.0
x7SBHD9X1eHlJ,0.498,0.0
xAb8zbMHstS,0.492,0.0
xh8Csv8C,0.510,0.0
xRmLtYAYJ5,0.440,0.0
xVhkxgncICyjq2G,0.478,0.0
xyUJSebBNSu,0.498,0.0
